np_id,SMILES,target_id,activity_value
NPC100017,C=C(C)[C@@]12O[C@@]3(/C=C/C=C/CCCCC)O[C@@H]1[C@@H]1[C@@H]4O[C@]4(CO)[C@@H](O)[C@]4(O)C(=O)C(C)=C[C@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(C)=O,NPT319,4.042575512440191
NPC100067,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2O)ccc1O,NPT178,3.4353665066126613
NPC100079,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,NPT204,3.161368002234975
NPC100079,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,NPT261,2.7403626894942437
NPC100079,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,NPT439,3.9334872878487053
NPC100340,Oc1cc(O)cc(CCc2ccccc2)c1,NPT30,4.669316880566112
NPC100340,Oc1cc(O)cc(CCc2ccccc2)c1,NPT31,4.669316880566112
NPC100551,O=C(O)c1ccccc1O,NPT204,5.539076098792776
NPC100551,O=C(O)c1ccccc1O,NPT30,5.431363764158987
NPC100551,O=C(O)c1ccccc1O,NPT31,4.6020599913279625
NPC100551,O=C(O)c1ccccc1O,NPT41,6.0
NPC100551,O=C(O)c1ccccc1O,NPT43,5.0
NPC100551,O=C(O)c1ccccc1O,NPT713,6.0
NPC1008,Cc1ccc(C)c2ccccc12,NPT208,3.5563025007672873
NPC100887,COc1c(O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,NPT12,4.824125833916549
NPC100971,COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O,NPT967,5.92495088891561
NPC101294,COc1ccc(-c2cc(=O)c3c(OC)cc(OC)cc3o2)cc1,NPT668,3.146128035678238
NPC101475,CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,NPT178,4.1702617153949575
NPC101475,CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,NPT319,4.523746466811565
NPC101475,CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,NPT41,4.924279286061882
NPC101475,CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,NPT570,4.6020599913279625
NPC101712,CNc1ccccc1C(O)=NCCc1c[nH]c2ccccc12,NPT30,4.6020599913279625
NPC101712,CNc1ccccc1C(O)=NCCc1c[nH]c2ccccc12,NPT31,4.6020599913279625
NPC101793,CC(C)=CCc1c(O)ccc2c1O[C@H](c1ccc3c(c1)C=CC(C)(C)O3)CC2=O,NPT178,3.6989700043360187
NPC101830,COc1cc2oc(-c3ccc(O)cc3)c(OC)c(=O)c2c(O)c1OC,NPT668,4.146128035678238
NPC102008,CC(C)c1c(C(O)=Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,NPT109,3.7075701760979363
NPC102008,CC(C)c1c(C(O)=Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,NPT668,5.460897842756548
NPC102044,COc1cc2c(cc1O)O[C@H]1c3cc(CC=C(C)C)c(O)cc3OC[C@@H]21,NPT178,4.477121254719663
NPC102167,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](N=C(O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,NPT1028,5.123851640967086
NPC102167,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](N=C(O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,NPT1249,5.123851640967086
